new entry "Target_LLDUMMY_TrainingDummy"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "Yes"
data "Ability" "None"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "Requirements" "!Combat"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetRadius" "13"
data "Icon" "LLDUMMY_Skills_SummonTrainingDummy"
data "DisplayName" "Target_LLDUMMY_TrainingDummy_DisplayName"
data "Description" "Target_LLDUMMY_TrainingDummy_Description"
data "DisplayNameRef" "<font color='#44FF88'>Deploy Training Dummy</font>"
data "DescriptionRef" "Summon an unbreakable training dummy at the target location.<br><font color='#DD44FF'>The dummy can be interacted with to dismiss it or modify its configuration.</font>"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "CastAnimation" "skill_cast_self_totem_01_cast"
data "CastTextEvent" "cast"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Totem_Root_01,KeepRot;RS3_FX_Skills_Totem_Prepare_Totem_Dummy_01:Dummy_OverheadFX;"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Self_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Self_Totem_Dummy_01:Dummy_OverheadFX;"
data "PreviewEffect" "LLDUMMY_FX_Skills_SummonDummy_Preview_01"
